,No,Constituency,Winner,Votes,Majority,Opponent 1,Votes Opponent 1,Incumbent,Incumbent Majority,Opponent 2,Votes Opponent 2,Opponent 3,Votes Opponent 3,Opponent 4,Votes Opponent 4,Opponent 5,Votes Opponent 5
0,"P199
","Serian
","Richard Riot Jaem  (BN-SUPP)
","17,545
","9,905
","Edward Andrew Luwak  (PH-DAP)
","7,640
","Richard Riot Jaem  (BN-SUPP)
","13,151
","Senior William Rade  (IND)
","2,234
",,,,,,
0,"P200
","Batang Sadong
","Nancy Shukri  (BN-PBB)
","14,208
","12,328
","Othman Mustapha  (PH-AMANAH)
","1,880
","Nancy Shukri  (BN-PBB)
","11,260
","Asan Singkro  (GS-PAS)
","978
",,,,,,
0,"P201
","Batang Lupar
","Rohani Abdul Karim  (BN-PBB)
","14,204
","10,277
","Wan Abdillah Wan Ahmad  (GS-PAS)
","3,927
","Rohani Abdul Karim  (BN-PBB)
","10,964
","Narudin Mentali  (PH-AMANAH)
","2,020
",,,,,,
0,"P202
","Sri Aman
","Masir Kujat  (BN-PRS)
","14,141
","5,820
","Norina Utot  (PH-PKR)
","8,321
","Masir Kujat  (BN-PRS)
","6,550
","Cobbold John Lusoi  (PBDS BARU)
","538
",,,,,,
0,"P203
","Lubok Antu
","Jugah Muyang  (IND)
","5,834
","1,059
","Robert Pasang Alam  (BN-PRS)
","4,775
","William Nyallau Badak (BN-PRS)
","4,091
","Nicholas Bawin Anggat  (PH-PKR)
","3,942
",,,,,,
0,"P204
","Betong
","Robert Lawson Chuat  (BN-PBB)
","12,517
","8,116
","Abang Ahmad Abang Suni  (IND)
","4,401
","Douglas Uggah Embas  (BN-PBB)
","10,887
","Noel Changgai Bucking  (PH-PKR)
","3,802
",,,,,,
0,"P205
","Saratok
","Ali Biju  (PH-PKR)
","11,848
","989
","Subeng Mula  (BN-PDP)
","10,859
","William Ikom Mawan(TERAS)
","2,081
",,,,,,,,
0,"P206
","Tanjong Manis
","Yusuf Abd. Wahab  (BN-PBB)
","11,402
","8,674
","Mohamad Fadillah Sabali  (PH-AMANAH)
","2,728
","Norah Abdul Rahma  (BN-PBB)
","10,964
",,,,,,,,
0,"P207
","Igan
","Ahmad Johnie Zawasi  (BN-PBB)
","10,538
","8,495
","Andri Zulkarnaen Hamdan  (PH-AMANAH)
","2,043
","Wahab Dolah  (BN-PBB)
","10,149
",,,,,,,,
0,"P208
","Sarikei
","Wong Ling Biu  (PH-DAP)
","16,327
","2,570
","Huang Tiong Sii  (BN-SUPP)
","13,757
","Wong Ling Biu  (PH-DAP)
","505
","Wong Chin King  (PBK)
","392
",,,,,,
0,"P209
","Julau
","Larry Sng Wei Shien (IND)
","10,105
","1,937
","Joseph Salang Gandum  (BN-PRS)
","8,174
","Joseph Salang Gandum  (BN-PRS)
","5,955
",,,,,,,,
0,"P210
","Kanowit
","Aaron Ago Dagang  (BN-PRS)
","9,552
","4,312
","Satu Anchom  (PH-PKR)
","5,240
","Aaron Ago Dagang  (BN-PRS)
","3,042
",,,,,,,,
0,"P211
","Lanang
","Alice Lau Kiong Yieng  (PH-DAP)
","29,905
","14,546
","Kong Sien Chiu  (BN-SUPP)
","15,359
","Alice Lau Kiong Yieng  (PH-DAP)
","8,630
","Priscilla Lau  (PEACE)
","628
",,,,,,
0,"P212
","Sibu
","Oscar Ling Chai Yew  (PH-DAP)
","33,811
","11,442
","Andrew Wong Kee Yew  (BN-SUPP)
","22,389
","Oscar Ling Chai Yew  (PH-DAP)
","2,841
","Tiew Yen Houng  (PEACE)
","377
","Tiong Ing Tung  (STAR)
","176
",,,,
0,"P213
","Mukah
","Hanifah Hajar Taib  (BN-PBB)
","13,853
","7,000
","Abdul Jalil Bujang  (PH-PKR)
","6,853
","Leo Michael Toyad  (BN-PBB)
","12,764
",,,,,,,,
0,"P214
","Selangau
","Baru Bian  (PH-PKR)
","11,228
","486
","Rita Sarimah Patrick  (BN-PRS)
","10,742
","Joseph Entulu Belaun (IND)
","7,555
",,,,,,,,
0,"P215
","Kapit
","Alexander Nanta Linggi  (BN-PBB)
","14,302
","10,479
","Paren Nyawi  (PH-DAP)
","3,823
","Alexander Nanta Linggi  (BN-PBB)
","9,731
",,,,,,,,
0,"P216
","Hulu Rajang
","Wilson Ugak Anak Kumbong  (BN-PRS)
","11,834
","6,315
","Abun Sui Anyit  (PH-PKR)
","5,519
","Wilson Ugak Anak Kumbong  (BN-PRS)
","5,834
",,,,,,,,
0,"P217
","Bintulu
","Tiong King Sing  (BN-PDP)
","27,076
","7,022
","Tony Chan Yew Chiew  (PH-DAP)
","20,054
","Tiong King Sing  (BN-PDP)
","7,433
","Chieng Lea Phing  (STAR)
","328
",,,,,,
0,"P218
","Sibuti
","Lukanisman Awang  (BN-PBB)
","12,214
","3,676
","Jemat Panjang  (PH-PKR)
","8,538
","Ahmad Lai Bujang  (BN-PBB)
","6,066
","Zulaihi Bakar  (GS-PAS)
","1,617
",,,,,,
0,"P219
","Miri
","Micheal Teo Yu Keng  (PH-PKR)
","35,739
","13,663
","Sebastian Ting Chiew Yew  (BN-SUPP)
","22,076
","Micheal Teo Yu Keng  (PH-PKR)
","1,992
",,,,,,,,
0,"P220
","Baram
","Anyi Ngau  (BN-PDP)
","12,171
","1,990
","Roland Egan  (PH-PKR)
","10,181
","Anyi Ngau  (BN-PDP)
","194
",,,,,,,,
0,"P221
","Limbang
","Hasbi Habibollah  (BN-PBB)
","12,589
","7,710
","Dr. Ricardo Yampil Baba  (PH-PKR)
","4,879
","Hasbi Habibollah  (BN-PBB)
","8,301
",,,,,,,,
0,"P222
","Lawas
","Henry Sum Agong  (BN-PBB)
","10,037
","6,000
","Danny Piri  (PH-PKR)
","4,037
","Henry Sum Agong  (BN-PBB)
","6,030
","Mohammad Brahim  (IND)
","176
",,,,,,
